85962.HP1102	O25730
85962.HP0557	O25283
85962.HP0779	P56418
85962.HP0808	O25488
85962.HP0559	P56464
85962.HP1045	O25686
85962.HP0267	O25046
85962.HP1229	O25827
85962.HP0176	P56109
85962.HP0941	O25595
85962.HP0294	O25067
85962.HP1238	O25836
85962.HP0570	O25294
85962.HP1037	O25681
85962.HP1488	P94851
85962.HP0572	O25296
85962.HP0401	P56197
85962.HP0283	P56081
85962.HP0663	P56122
85962.HP1249	P56119
85962.HP0157	P56073
85962.HP1038	Q48255
85962.HP0649	P56149
85962.HP0723	O25424
85962.HP1079	O25711
85962.HP0828	P56085
85962.HP1134	P55987
85962.HP1132	P55988
85962.HP1131	P56084
85962.HP1136	P56086
85962.HP1133	P56082
85962.HP1212	P56087
85962.HP0655	O25369
85962.HP1378	O25930
85962.HP0136	P55979
85962.HP0976	O25627
85962.HP1406	O25956
85962.HP0029	O24872
85962.HP0598	O25320
85962.HP0547	P55980
85962.HP0544	Q48252
85962.HP0534	P97227
85962.HP0532	P97245
85962.HP1237	O25835
85962.HP0919	O25577
85962.HP0875	P77872
85962.HP0147	O24958
85962.HP0871	Q48248
85962.HP0215	O25004
85962.HP0011	P0A0R3
85962.HP0010	P42383
85962.HP1067	P71403
85962.HP0026	P56062
85962.HP0264	P71404
85962.HP0794	P56156
85962.HP0032	P56066
85962.HP1374	O25926
85962.HP0388	O25150
85962.HP0419	O25173
85962.HP1042	O25683
85962.HP1475	O26010
85962.HP0831	O25502
85962.HP0862	O25533
85962.HP1072	P55989
85962.HP1073	Q48271
85962.HP1344	O25901
85962.HP1225	O25823
85962.HP1442	O25983
85962.HP1168	P56190
85962.HP1227	O25825
85962.HP0004	O24855
85962.HP1210	P71405
85962.HP0107	P56067
85962.HP0943	O25597
85962.HP1013	O25657
85962.HP0510	P94844
85962.HP0626	O25343
85962.HP0212	O25002
85962.HP0566	O25290
85962.HP0835	O25506
85962.HP0290	P56129
85962.HP0372	O25136
85962.HP0724	O25425
85962.HP0604	O25325
85962.HP0738	P56191
85962.HP0793	P56419
85962.HP1179	P56195
85962.HP1178	P56463
85962.HP0834	O25505
85962.HP1189	O25801
85962.HP0380	P55990
85962.HP0822	P56429
85962.HP1232	O25830
85962.HP1529	O26057
85962.HP1362	O25916
85962.HP0012	P56064
85962.HP1332	O25890
85962.HP0109	P55994
85962.HP0615	O25336
85962.HP1470	P56105
85962.HP1460	P56157
85962.HP0500	O25242
85962.HP0243	P43313
85962.HP0727	O25427
85962.HP0865	O25536
85962.HP0216	P56139
85962.HP0354	O25121
85962.HP1100	P56111
85962.HP1195	P56002
85962.HP0177	P56004
85962.HP1555	P55975
85962.HP1205	P56003
85962.HP1567	O26087
85962.HP0154	P48285
85962.HP0022	O24867
85962.HP0517	P56059
85962.HP0259	O25039
85962.HP1482	O26016
85962.HP1339	O25897
85962.HP1340	O25898
85962.HP1130	O25755
85962.HP1445	O25986
85962.HP1129	O25754
85962.HP1446	P64101
85962.HP1385	O25936
85962.HP0202	O24994
85962.HP0195	O24990
85962.HP1376	O25928
85962.HP0687	O25396
85962.HP0601	P0A0S1
85962.HP0115	Q07911
85962.HP1161	O25776
85962.HP0870	P50610
85962.HP0325	O25092
85962.HP0246	O25028
85962.HP1041	O06758
85962.HP0770	P56416
85962.HP1035	O25679
85962.HP0752	P96786
85962.HP1557	P67708
85962.HP0352	O25119
85962.HP1420	O07025
85962.HP1419	P0A0S3
85962.HP1154	O25769
85962.HP1377	O25929
85962.HP1141	P56461
85962.HP0577	P56467
85962.HP0192	O06913
85962.HP0191	O06914
85962.HP0193	O06912
85962.HP0653	P52093
85962.HP0978	O25629
85962.HP1069	P71408
85962.HP1090	O25722
85962.HP1560	P56096
85962.HP0763	O25458
85962.HP0979	P56097
85962.HP1325	O25883
85962.HP1027	O25671
85962.HP0921	P55971
85962.HP1101	P56110
85962.HP1166	O25781
85962.HP0830	P56114
85962.HP0658	O25372
85962.HP0975	O25626
85962.HP0928	P56462
85962.HP1103	O25731
85962.HP0075	P25177
85962.HP1532	O26060
85962.HP0683	O25393
85962.HP0512	P94845
85962.HP1174	O25788
85962.HP0183	P56089
85962.HP0857	O25528
85962.HP0860	O25531
85962.HP0961	O25614
85962.HP0974	P56196
85962.HP0866	P64275
85962.HP0110	P55970
85962.HP0306	P56115
85962.HP0959	O25613
85962.HP0409	O25165
85962.HP0854	O25525
85962.HP0701	P48370
85962.HP0501	P55992
85962.HP0211	O25001
85962.HP0336	O25103
85962.HP1098	O25728
85962.HP0160	O24968
85962.HP0235	O25021
85962.HP0239	P56125
85962.HP0163	P56074
85962.HP0237	P56140
85962.HP0376	P56107
85962.HP0665	O25376
85962.HP0858	O25529
85962.HP0791	Q59465
85962.HP0797	P55969
85962.HP1427	P0A0V6
85962.HP1036	O25680
85962.HP0111	O24933
85962.HP0516	O25254
85962.HP0515	O25253
85962.HP0210	P56116
85962.HP0927	O25582
85962.HP0869	P0A0U4
85962.HP0900	O25560
85962.HP0027	P56063
85962.HP1298	P65108
85962.HP1048	P55972
85962.HP0124	P55973
85962.HP0330	O25097
85962.HP1468	O26004
85962.HP0829	P56088
85962.HP0620	P56153
85962.HP0220	O25008
85962.HP1020	O25664
85962.HP1443	O25984
85962.HP0625	O25342
85962.HP0400	P65185
85962.HP1221	P55984
85962.HP0618	P56104
85962.HP0700	P56411
85962.HP0003	P56060
85962.HP0230	O25016
85962.HP0321	P56103
85962.HP1050	O25690
85962.HP0742	P56184
85962.HP1474	O26009
85962.HP0355	O25122
85962.HP0576	O25300
85962.HP0955	O25609
85962.HP0180	O24982
85962.HP0785	O25474
85962.HP1379	P55995
85962.HP1456	P0A0V0
85962.HP1375	O25927
85962.HP0867	O25537
85962.HP1052	O25692
85962.HP0196	O24991
85962.HP0021	O24866
85962.HP0328	O25095
85962.HP0074	P25178
85962.HP0105	O24931
85962.HP1299	P56102
85962.HP0106	Q1M0P5
85962.HP0106	P56069
85962.HP0197	P56460
85962.HP1576	O26096
85962.HP1541	O26066
85962.HP1415	O25961
85962.HP0269	P56131
85962.HP1053	O25693
85962.HP0331	O25098
85962.HP0332	O25099
85962.HP1335	O25893
85962.HP1452	O25991
85962.HP0213	P56138
85962.HP0768	P56414
85962.HP0798	Q48260
85962.HP0800	P56422
85962.HP0769	P56415
85962.HP0799	P56421
85962.HP0815	P65410
85962.HP0816	P56427
85962.HP0089	O24915
85962.HP0086	O24913
85962.HP0493	O25235
85962.HP0207	O24999
85962.HP0224	O25011
85962.HP0648	P56189
85962.HP1418	O25963
85962.HP0623	O25340
85962.HP0494	O25236
85962.HP1494	O26027
85962.HP1155	O25770
85962.HP0549	P56068
85962.HP0885	O25551
85962.HP0621	O25338
85962.HP1356	O25910
85962.HP1355	O25909
85962.HP1337	O25895
85962.HP0329	O25096
85962.HP1394	O25944
85962.HP0198	P56075
85962.HP1552	O26076
85962.HP1338	O25896
85962.HP1077	Q48262
85962.HP1363	P56176
85962.HP1259	O25849
85962.HP1261	O25851
85962.HP1263	O25853
85962.HP1267	O25857
85962.HP1268	O25858
85962.HP1270	O25860
85962.HP1514	P55977
85962.HP0001	O24853
85962.HP1203	P55976
85962.HP0303	O25074
85962.HP1158	O25773
85962.HP1476	O26011
85962.HP1058	O25698
85962.HP0006	P56061
85962.HP0034	P56065
85962.HP1138	O25758
85962.HP0855	O25526
85962.HP1583	O26103
85962.HP1582	O26102
85962.HP0508	O25249
85962.HP0863	O25534
85962.HP0310	O25080
85962.HP1345	P56154
85962.HP0363	P56133
85962.HP1348	O25903
85962.HP0201	O24993
85962.HP1509	O26039
85962.HP1213	O25812
85962.HP1441	O25982
85962.HP1010	O25654
85962.HP0121	P56070
85962.HP0387	O25149
85962.HP1068	O07678
85962.HP1357	O25911
85962.HP0840	O25511
85962.HP0366	O25130
85962.HP0326	O25093
85962.HP0327	O25094
85962.HP0178	O24980
85962.HP1071	Q48269
85962.HP1497	P56077
85962.HP1218	O25817
85962.HP1112	P56468
85962.HP0255	P56137
85962.HP1084	O25716
85962.HP0581	P56465
85962.HP1011	O25655
85962.HP1257	P56162
85962.HP0005	P56155
85962.HP0349	O25116
85962.HP0777	P56106
85962.HP0266	O25045
85962.HP1062	O25702
85962.HP0639	O25356
85962.HP0933	O25587
85962.HP1413	O25959
85962.HP0223	P56148
85962.HP1047	O25688
85962.HP0954	O25608
85962.HP0153	P42445
85962.HP1523	O26051
85962.HP1393	O25943
85962.HP0925	P56214
85962.HP0077	P55998
85962.HP0171	P55999
85962.HP0550	P56466
85962.HP0247	O25029
85962.HP0802	O08315
85962.HP0804	O25484
85962.HP1149	O25767
85962.HP0734	O25434
85962.HP1046	O25687
85962.HP0680	P55982
85962.HP0364	P55983
85962.HP0002	O24854
85962.HP1200	P56036
85962.HP1202	P66052
85962.HP0084	P56038
85962.HP1309	P56039
85962.HP1301	P56040
85962.HP1312	P56041
85962.HP1292	P56042
85962.HP1303	P56043
85962.HP1147	P56044
85962.HP1201	P56029
85962.HP0126	P56045
85962.HP0296	P56046
85962.HP1314	P56047
85962.HP1317	P66119
85962.HP1308	P56049
85962.HP1496	P56078
85962.HP0297	P56050
85962.HP0491	P66142
85962.HP1311	P56052
85962.HP1316	P56030
85962.HP0551	P66185
85962.HP0200	P56054
85962.HP1204	P66217
85962.HP1447	P66246
85962.HP0125	P66269
85962.HP1297	P56058
85962.HP1319	P56031
85962.HP1318	P56032
85962.HP1307	P56033
85962.HP1304	P56034
85962.HP1199	P55834
85962.HP0514	P56035
85962.HP0949	O25603
85962.HP1428	O25970
85962.HP1571	O26091
85962.HP0662	P56118
85962.HP1323	P56121
85962.HP0661	P56120
85962.HP1430	P56185
85962.HP1448	P55997
85962.HP1248	P56123
85962.HP0760	O25455
85962.HP0743	P56098
85962.HP0714	P56143
85962.HP1386	P56188
85962.HP1293	P56001
85962.HP1198	O25806
85962.HP0088	P55993
85962.HP0776	P60325
85962.HP1228	O25826
85962.HP1256	P56398
85962.HP1320	P66328
85962.HP1295	P56018
85962.HP1197	P0A0X4
85962.HP1296	P56020
85962.HP1306	P56021
85962.HP1040	P56022
85962.HP1151	P56023
85962.HP1310	P66449
85962.HP1244	P66459
85962.HP1315	P56026
85962.HP0399	P56008
85962.HP0076	P56027
85962.HP0562	P56028
85962.HP1554	P56009
85962.HP1313	P56010
85962.HP1294	P56011
85962.HP1302	P66572
85962.HP1246	P56013
85962.HP1196	P66609
85962.HP1305	P66621
85962.HP0083	P66637
85962.HP1431	O25972
85962.HP0374	O25138
85962.HP1063	O25703
85962.HP0707	O25411
85962.HP0552	P56204
85962.HP0883	O25549
85962.HP1059	O25699
85962.HP0877	O25544
85962.HP0334	O25101
85962.HP0691	P56006
85962.HP0692	P56007
85962.HP0132	P56072
85962.HP0786	O25475
85962.HP1550	O26074
85962.HP1549	O26073
85962.HP1255	O25847
85962.HP1300	O25879
85962.HP1513	O26043
85962.HP1123	O25748
85962.HP0389	P43312
85962.HP1185	O25797
85962.HP0832	O25503
85962.HP1152	P56005
85962.HP1245	O25841
85962.HP1444	O25985
85962.HP0930	O25584
85962.HP1241	P56452
85962.HP0886	P41259
85962.HP0617	P56459
85962.HP0476	P96551
85962.HP0643	O25360
85962.HP0403	P56146
85962.HP0402	P56145
85962.HP0960	P56453
85962.HP0972	P56454
85962.HP1190	P56455
85962.HP1422	P56456
85962.HP0182	P56126
85962.HP1547	P56457
85962.HP0417	P56127
85962.HP0238	P56124
85962.HP0319	P56128
85962.HP1480	P56458
85962.HP0123	P56071
85962.HP1153	P56000
85962.HP1253	P56396
85962.HP0774	P56417
85962.HP1495	P56108
85962.HP0320	O25088
85962.HP1060	O25700
85962.HP1061	O25701
85962.HP0281	O08314
85962.HP0844	O25515
85962.HP0843	O25514
85962.HP0845	O25516
85962.HP0824	P66928
85962.HP0098	O24924
85962.HP1533	O26061
85962.HP0795	P56420
85962.HP0728	O25428
85962.HP1126	O25751
85962.HP1341	O25899
