Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P43313	DPS_HELPY	reviewed	DNA protection during starvation protein (EC 1.16.-.-) (Bacterioferritin) (HP-NAP) (Neutrophil-activating protein A) (NAP A)	dps napA HP_0243	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	144
P69996	URE1_HELPY	reviewed	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)	ureB hpuB HP_0072	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	569
O25560	HYPB_HELPY	reviewed	Hydrogenase/urease maturation factor HypB (Hydrogenase/urease nickel incorporation protein HypB)	hypB HP_0900	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	242
O25001	HCPA_HELPY	reviewed	Beta-lactamase HcpA (EC 3.5.2.6) (Cysteine-rich 28 kDa protein)	hcpA HP_0211	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	250
Q59465	HMCT_HELPY	reviewed	Cadmium, zinc and cobalt-transporting ATPase (EC 7.2.2.12) (EC 7.2.2.21)	cadA HP_0791	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	686
P56076	TPIS_HELPY	reviewed	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA tpi HP_0194	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	234
O25533	COAX_HELPY	reviewed	Type III pantothenate kinase (EC 2.7.1.33) (PanK-III) (Pantothenic acid kinase)	coaX coaA HP_0862	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	223
Q09068	UREI_HELPY	reviewed	Acid-activated urea channel (Urease accessory protein UreI)	ureI HP_0071	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	195
O08314	TGT_HELPY	reviewed	Queuine tRNA-ribosyltransferase (EC 2.4.2.29) (Guanine insertion enzyme) (tRNA-guanine transglycosylase)	tgt HP_0281	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	371
P14916	URE23_HELPY	reviewed	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	ureA hpuA HP_0073	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	238
O26061	THYX_HELPY	reviewed	Flavin-dependent thymidylate synthase (FDTS) (EC 2.1.1.148) (FAD-dependent thymidylate synthase) (Thymidylate synthase ThyX) (TS) (TSase)	thyX HP_1533	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	208
O24915	MQMTN_HELPY	reviewed	Aminodeoxyfutalosine nucleosidase (AFL nucleosidase) (Aminofutalosine nucleosidase) (EC 3.2.2.30) (5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase) (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (6-amino-6-deoxyfutalosine N-ribosylhydrolase)	mtnN mtn HP_0089	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	231
P96786	FLID_HELPY	reviewed	Flagellar hook-associated protein 2 (HAP2) (Filament cap protein) (Flagellar cap protein)	fliD HP_0752	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	685
O25830	DHPRS_HELPY	reviewed	Bifunctional dihydropteroate synthase/dihydropteroate reductase [Includes: Dihydropteroate reductase (DHPR) (EC 1.5.8.-); Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)]	folP C694_06360 HP_1232	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	380
O25067	AMIE_HELPY	reviewed	Aliphatic amidase (EC 3.5.1.4) (Acylamide amidohydrolase)	amiE HP_0294	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	339
P56065	PAND_HELPY	reviewed	Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]	panD HP_0034	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	117
O24872	BIOD_HELPY	reviewed	ATP-dependent dethiobiotin synthetase BioD (EC 6.3.3.3) (DTB synthetase) (DTBS) (Dethiobiotin synthase)	bioD HP_0029	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	218
O25503	SPEE_HELPY	reviewed	Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16)	speE HP_0832	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	262
O25080	PGDAE_HELPY	reviewed	Peptidoglycan deacetylase (PG deacetylase) (EC 3.5.1.-) (Acetylxylan esterase) (EC 3.1.1.72)	pgdA HP_0310 C694_01565	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	293
P56081	AROB_HELPY	reviewed	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	aroB HP_0283	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	343
O25119	FLIG_HELPY	reviewed	Flagellar motor switch protein FliG (Flagellar motor switch protein G)	fliG C694_01785 HP_0352	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	343
O26010	COAD_HELPY	reviewed	Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)	coaD kdtB HP_1475	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	157
Q48255	AROQ_HELPY	reviewed	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)	aroQ HP_1038	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	167
P56073	AROK_HELPY	reviewed	Shikimate kinase (SK) (EC 2.7.1.71)	aroK HP_0157	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	162
P0DUM4	AAPA1_HELPY	reviewed	Toxic protein AapA1	aapA1 HP_1177.1	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	30
O25338	MUTS2_HELPY	reviewed	Endonuclease MutS2 (EC 3.1.-.-)	mutS2 mutSB HP_0621	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	762
O34810	O34810_HELPY	unreviewed	Uncharacterized protein	HP_0426 HP_1409	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	578
O34754	O34754_HELPY	unreviewed	IS605 transposase (TnpA)	HP_0437 HP_0988 HP_0998 HP_1096 HP_1535	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	142
O34945	O34945_HELPY	unreviewed	IS605 transposase (TnpB)	HP_0989 HP_1534	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	427
O34523	O34523_HELPY	unreviewed	Outer membrane protein (Omp29) (Outer membrane protein (Omp5))	HP_0227 HP_1342	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	691
O34491	O34491_HELPY	unreviewed	IS605 transposase (TnpB)	HP_0438 HP_0997 HP_1095	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	427
O34540	O34540_HELPY	unreviewed	Uncharacterized protein	HP_0427 HP_1408	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	111
O34410	O34410_HELPY	unreviewed	Uncharacterized protein	HP_0488 HP_1116	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	957
O25392	O25392_HELPY	unreviewed	Uncharacterized protein	HP_0682	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	126
O25874	O25874_HELPY	unreviewed	Aminopyrimidine aminohydrolase (EC 3.5.99.2)	HP_1287	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	217
O25673	O25673_HELPY	unreviewed	Uncharacterized protein	HP_1029	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	178
O25564	O25564_HELPY	unreviewed	Flg_hook domain-containing protein	HP_0906	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	527
O26065	O26065_HELPY	unreviewed	Ubiquinol cytochrome c oxidoreductase, Rieske 2Fe-2S subunit (FbcF)	HP_1540	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	167
O26083	O26083_HELPY	unreviewed	Iron(III) ABC transporter, periplasmic iron-binding protein (CeuE)	HP_1562	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	333
O25260	O25260_HELPY	unreviewed	Cag pathogenicity island protein (Cag5)	HP_0524	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	748
O25050	O25050_HELPY	unreviewed	Uncharacterized protein	HP_0272	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	177
O25894	O25894_HELPY	unreviewed	J domain-containing protein	HP_1336	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	253
O25695	O25695_HELPY	unreviewed	Uncharacterized protein	HP_1055	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	314
O25808	O25808_HELPY	unreviewed	Uncharacterized protein	HP_1207	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	222
O25787	O25787_HELPY	unreviewed	Uncharacterized protein	HP_1173	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	183
O26046	O26046_HELPY	unreviewed	Site-specific DNA-methyltransferase (adenine-specific) (EC 2.1.1.72)	HP_1517	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	1279
O25573	O25573_HELPY	unreviewed	Iron-regulated outer membrane protein (FrpB)	HP_0915	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	562
O25141	O25141_HELPY	unreviewed	Cytochrome c biogenesis protein (Ycf5)	HP_0378	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	936
O24943	O24943_HELPY	unreviewed	Uncharacterized protein	HP_0129	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	141
O24899	O24899_HELPY	unreviewed	Uncharacterized protein	HP_0059	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	284
O25346	O25346_HELPY	unreviewed	Uncharacterized protein	HP_0629	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	681
O25272	O25272_HELPY	unreviewed	Cag pathogenicity island protein (Cag18)	HP_0539	Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori)	237
